Wall time,Step,Value
1682945456.647577,3,0.0
1682945457.0037792,4,0.0
1682945459.3999429,10,0.0
1682945461.053073,14,0.0
1682945461.4424589,15,0.0
1682945462.7122471,18,0.0
1682945463.166239,19,0.0
1682945463.5805361,20,0.0
1682945464.3010628,22,0.0
1682945464.634573,23,0.0
1682945465.656249,26,0.0
1682945466.019789,27,0.0
1682945470.234165,38,0.0
1682945470.9660008,40,0.0
1682945473.619748,47,0.0
1682945473.954717,48,0.0
1682945474.292855,49,0.0
1682945474.965216,51,0.0
1682945475.976119,54,0.0
1682945477.095876,57,0.009999999776482582
1682945478.1173298,60,0.009999999776482582
1682945478.4763432,61,0.009999999776482582
1682945478.8086689,62,0.009999999776482582
1682945479.1483572,63,0.009999999776482582
1682945479.9816132,65,0.009999999776482582
1682945480.328941,66,0.009999999776482582
1682945480.676778,67,0.009999999776482582
1682945480.995808,68,0.019999999552965164
1682945481.64878,70,0.019999999552965164
1682945481.98368,71,0.019999999552965164
1682945484.1400409,77,0.029999999329447746
1682945484.823282,79,0.029999999329447746
1682945485.9039,82,0.029999999329447746
1682945487.084086,85,0.03999999910593033
1682945488.4080188,89,0.03999999910593033
1682945491.991294,99,0.05000000074505806
1682945493.538947,103,0.05000000074505806
1682945494.5201652,106,0.07000000029802322
1682945494.8698912,107,0.07000000029802322
1682945495.5666618,109,0.07999999821186066
1682945498.155894,116,0.10999999940395355
1682945500.001198,121,0.11999999731779099
1682945501.332938,125,0.15000000596046448
1682945501.6815019,126,0.15000000596046448
1682945502.4810612,128,0.1599999964237213
1682945503.217298,130,0.17000000178813934
1682945505.249405,136,0.20999999344348907
1682945505.680863,137,0.2199999988079071
1682945508.191604,144,0.25999999046325684
1682945508.97667,146,0.27000001072883606
1682945509.4144099,147,0.2800000011920929
1682945510.422941,150,0.3100000023841858
1682945513.016494,157,0.36000001430511475
1682945514.0107882,160,0.3799999952316284
1682945514.712851,162,0.4000000059604645
1682945515.5210292,164,0.4099999964237213
1682945517.6968389,170,0.46000000834465027
1682945518.0638342,171,0.4699999988079071
1682945518.466294,172,0.47999998927116394
1682945520.3297422,177,0.5199999809265137
1682945521.750912,181,0.5600000023841858
1682945522.903892,184,0.5699999928474426
1682945523.2331321,185,0.5600000023841858
1682945523.561942,186,0.5600000023841858
1682945525.017569,190,0.5899999737739563
1682945525.4368908,191,0.6000000238418579
1682945525.811264,192,0.6000000238418579
1682945528.242133,199,0.6399999856948853
1682945529.401359,202,0.6600000262260437
1682945529.7449799,203,0.6700000166893005
1682945530.109406,204,0.6700000166893005
1682945530.463352,205,0.6700000166893005
1682945531.152464,207,0.6899999976158142
1682945532.720072,211,0.699999988079071
1682945533.423041,213,0.699999988079071
1682945534.1379142,215,0.7099999785423279
1682945535.676806,219,0.7300000190734863
1682945536.012944,220,0.7300000190734863
1682945536.360916,221,0.7400000095367432
1682945537.4082692,224,0.75
1682945539.4539368,229,0.7699999809265137
1682945543.204024,239,0.75
1682945544.058644,241,0.7699999809265137
1682945545.403397,244,0.7799999713897705
1682945545.898397,245,0.7900000214576721
1682945546.33504,246,0.7900000214576721
1682945549.700704,254,0.7699999809265137
1682945551.098952,258,0.7400000095367432
1682945551.510539,259,0.75
1682945551.968759,260,0.7400000095367432
1682945556.020556,271,0.7200000286102295
1682945557.0550258,274,0.7099999785423279
1682945557.817182,276,0.699999988079071
1682945558.6852238,278,0.699999988079071
1682945559.4029608,280,0.699999988079071
1682945560.106526,282,0.699999988079071
1682945561.159879,285,0.7200000286102295
1682945562.373754,288,0.7400000095367432
1682945563.087848,290,0.7300000190734863
1682945564.948858,295,0.7400000095367432
1682945565.715273,297,0.75
1682945566.073047,298,0.7599999904632568
1682945569.1007519,306,0.7599999904632568
1682945569.80398,308,0.7400000095367432
1682945571.309052,312,0.7400000095367432
1682945572.8290381,316,0.7300000190734863
1682945573.5452318,318,0.7400000095367432
1682945573.8970912,319,0.75
1682945575.1086102,322,0.75
1682945580.7104719,337,0.7799999713897705
1682945581.143244,338,0.7799999713897705
1682945583.066381,343,0.7799999713897705
1682945583.761683,345,0.7799999713897705
1682945584.093662,346,0.7799999713897705
1682945586.400877,352,0.7799999713897705
1682945587.140516,354,0.7900000214576721
1682945588.7692428,358,0.800000011920929
1682945590.2329202,362,0.8100000023841858
1682945590.610496,363,0.8199999928474426
1682945591.0091991,364,0.8199999928474426
1682945591.432578,365,0.8100000023841858
1682945591.81112,366,0.8199999928474426
1682945592.169384,367,0.8100000023841858
1682945596.223155,378,0.8100000023841858
1682945599.282433,386,0.8100000023841858
