Wall time,Step,Value
1684795632,0,4.73E-06
1684795632,1,0.000614802
1684795632,2,0.000120118
1684795632,3,0.00111264
1684795632,4,0.000522531
1684795632,5,0.000272228
1684795632,6,4.88E-04
1684795632,7,6.35E-04
1684795632,8,0.000141697
1684795632,9,0.000618451
1684795632,10,0.000533302
1684795632,11,0.001093123
1684795632,12,0.000947445
1684795632,13,0.000505613
1684795632,14,0.000521988
1684795633,15,0.000618003
1684795633,16,0.000424977
1684795633,17,0.000233425
1684795633,18,0.000240828
1684795633,19,0.000182656
1684795633,20,0.000194854
1684795633,21,0.000200859
1684795633,22,0.000428402
1684795633,23,0.00102724
1684795633,24,7.62E-04
1684795633,25,0.000508061
1684795633,26,4.18E-04
1684795633,27,0.000347803
1684795633,28,4.81E-05
1684795633,29,8.93E-05
1684795633,30,0.000272845
1684795633,31,0.000386847
1684795633,32,0.000350971
1684795633,33,0.000367671
1684795633,34,0.000648079
1684795633,35,4.59E-04
1684795633,36,0.000458798
1684795633,37,0.000570123
1684795633,38,0.000428802
1684795633,39,0.000392039
1684795633,40,0.000446949
1684795633,41,0.000525562
1684795633,42,0.000367966
1684795633,43,3.88E-04
1684795633,44,0.000230299
1684795633,45,0.000227084
1684795633,46,0.000194731
1684795633,47,2.97E-05
1684795633,48,1.50492E-05
